UF;CO_MUNICIPIO;NO_MUNICIPIO;IFDM_2006;IFDM_2007;IFDM_2008;IFDM_2009;IFDM_2010;
AC;1200013;Acrelândia;0,536853178;0,582445884;0,599000014;0,602110471;0,6654207682;
AC;1200054;Assis Brasil;0,511711106;0,539605518;0,568412874;0,564245036;0,5518058791;
AC;1200104;Brasiléia;0,54284671;0,66255418;0,794205816;0,668321241;0,6776004806;
AC;1200138;Bujari;0,495435591;0,53700568;0,60686757;0,631176126;0,6634505504;
AC;1200179;Capixaba;0,511287345;0,54296657;0,733554959;0,574853327;0,5992737055;
AC;1200203;Cruzeiro do Sul;0,603887617;0,646733518;0,749623455;0,678655972;0,704213304;
AC;1200252;Epitaciolândia;0,568632139;0,63619356;0,570855217;0,642659262;0,661967934;
AC;1200302;Feijó;0,460787821;0,556609957;0,627964819;0,564157842;0,5333290936;
AC;1200328;Jordão;0,388109765;0,476283726;0,459481692;0,439539885;0,4519516329;
AC;1200336;Mâncio Lima;0,542453924;0,597989361;0,574182265;0,61440948;0,6076293309;
AC;1200344;Manoel Urbano;0,386073207;0,411086449;0,440039755;0,503181241;0,5408853436;
AC;1200351;Marechal Thaumaturgo;0,387703927;0,425672966;0,417930923;0,652066522;0,5037771833;
AC;1200385;Plácido de Castro;0,529916804;0,571299631;0,571344248;0,598220056;0,6271016459;
AC;1200393;Porto Walter;0,437307726;0,456814548;0,424818121;0,466187667;0,4626054826;
AC;1200401;Rio Branco;0,668316446;0,683720064;0,701243622;0,730283419;0,7429100114;
AC;1200427;Rodrigues Alves;0,521001917;0,577559552;0,5375677;0,580568553;0,5826445839;
AC;1200435;Santa Rosa do Purus;0,326027873;0,383804553;0,426500472;0,437338596;0,4233978597;
AC;1200450;Senador Guiomard;0,590878358;0,616037857;0,653151219;0,669618741;0,6826572185;
AC;1200500;Sena Madureira;0,417932309;0,538289174;0,53061572;0,558864912;0,560834198;
AC;1200609;Tarauacá;0,450330195;0,523592639;0,510648149;0,518186274;0,5205232222;
AC;1200708;Xapuri;0,549397256;0,615171377;0,601256987;0,623737684;0,6132263034;
AC;1200807;Porto Acre;0,488858589;0,53377711;0,522594816;0,571371802;0,5790678623;
AL;2700102;Água Branca;0,456341386;0,557767886;0,57678895;0,577358897;0,6056921064;
AL;2700201;Anadia;0,531902553;0,528354619;0,611583179;0,61238726;0,6111309043;
AL;2700300;Arapiraca;0,538336985;0,587515048;0,630555048;0,634869481;0,6891347297;
AL;2700409;Atalaia;0,445979519;0,480476586;0,489250237;0,509088891;0,544918638;
AL;2700508;Barra de Santo Antônio;0,437186709;0,513842766;0,52041917;0,553411123;0,5797838419;
AL;2700607;Barra de São Miguel;0,503557826;0,548886965;0,618697854;0,573084649;0,6090164504;
AL;2700706;Batalha;0,454073123;0,452396561;0,61122802;0,543374916;0,5906211956;
AL;2700805;Belém;0,536687602;0,549438472;0,600567584;0,505767623;0,5756128356;
AL;2700904;Belo Monte;0,444193695;0,499930817;0,612847167;0,513340856;0,5506702472;
AL;2701001;Boca da Mata;0,469756087;0,529348923;0,606748446;0,627444527;0,67894266;
AL;2701100;Branquinha;0,354360242;0,435089749;0,789372177;0,503684104;0,5558735351;
AL;2701209;Cacimbinhas;0,575494636;0,563885254;0,618574604;0,545773149;0,5870312818;
AL;2701308;Cajueiro;0,465103571;0,51179988;0,879777778;0,585903724;0,6411089619;
AL;2701357;Campestre;0,644517378;0,639856571;0,716823501;0,611283818;0,6747522168;
AL;2701407;Campo Alegre;0,474222304;0,567726637;0,765323189;0,595589466;0,6104243585;
AL;2701506;Campo Grande;0,406753532;0,438348457;0,784090304;0,570537849;0,6060454843;
AL;2701605;Canapi;0,406887553;0,465145626;0,807939987;0,560219075;0,6012160063;
AL;2701704;Capela;0,469797152;0,506083572;0,650360226;0,611318586;0,6430397705;
AL;2701803;Carneiros;0,366611899;0,393154433;0,795808513;0,485443843;0,5065037513;
AL;2701902;Chã Preta;0,462645533;0,631050951;0,521921637;0,631994059;0,627046891;
AL;2702009;Coité do Nóia;0,47469597;0,572709557;0,762602562;0,65776974;0,7149329231;
AL;2702108;Colônia Leopoldina;0,459527113;0,506527022;0,635567613;0,50881811;0,5136507201;
AL;2702207;Coqueiro Seco;0,541906455;0,579774475;0,751760455;0,654961123;0,6724952917;
AL;2702306;Coruripe;0,517201299;0,612618307;0,791032101;0,726297018;0,7738675043;
AL;2702355;Craíbas;0,471499143;0,483729742;0,60530167;0,519571512;0,5466294604;
AL;2702405;Delmiro Gouveia;0,473973264;0,516624063;0,783983837;0,555374722;0,5736899836;
AL;2702504;Dois Riachos;0,467311469;0,521319513;0,767639329;0,598494568;0,640703349;
AL;2702553;Estrela de Alagoas;0,533364352;0,498023962;0,666055835;0,578004835;0,6010212438;
AL;2702603;Feira Grande;0,456837063;0,485954758;0,589797729;0,536284498;0,5787992208;
AL;2702702;Feliz Deserto;0,503519863;0,62269882;0,835814706;0,649256664;0,6842371713;
